"source","source_value","row_count","row_share","scheme","version","mapping_kind","codes","match_type","confidence","notes","source_field","query_text","suggested_kind","suggested_codes","candidate_codes","candidate_titles","candidate_scores","retrieval_score","suggestion_source","review_status"
"overture","hotel","327","0.01151651757413538","psic","rev5","","","exact","","","category","hotel","","","55101|55103|55104|5510|551","Operation of hotels || Operation of resort hotels || Operation of apartment hotels || Hotels and similar accommodation activities || Hotels and similar accommodation activities","0.245265|0.187598|0.169243|0.158995|0.158995","0.245265","retrieval:candidates","REVIEW_CANDIDATES"
"overture","coffee_shop","312","0.01098823695146862","psic","rev5","","","exact","","","category","coffee shop","","","01271|56302|10760|1076|01634","Growing of coffee plants || Operation of caf?s or coffee shops || Processing of coffee and tea || Processing of coffee and tea || Preparation of coffee and cocoa beans","0.382535|0.351059|0.349836|0.349836|0.287473","0.382535","retrieval:candidates","REVIEW_CANDIDATES"
"overture","lodging","303","0.010671268577868563","psic","rev5","","","exact","","","category","lodging","","","0220|022|02|8292|82920","Logging || Logging || Forestry and Logging || Packaging activities || Packaging activities","0.186245|0.186245|0.137457|0.112497|0.112497","0.186245","retrieval:candidates","REVIEW_CANDIDATES"
"osm","office=government","295","0.01038951891244629","psic","rev5","","","exact","","","category","government office","","","84113|84112|64121|82|8210","Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking || Office Administrative, Office Support and Other Business Support Activities || Office administrative and support activities","0.386558|0.380305|0.297452|0.256585|0.225471","0.386558","retrieval:candidates","REVIEW_CANDIDATES"
"osm","amenity=fast_food","286","0.010072550538846235","psic","rev5","","","exact","","","category","fast food amenity","","","56102|4721|10|56290|5629","Fast-food restaurants operations, including quick service restaurant || Retail sale of food || Manufacture of Food Products || Other food service activities || Other food service activities","0.332073|0.218606|0.205109|0.194838|0.194838","0.332073","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Dining and Drinking > Restaurant > Asian Restaurant > Filipino Restaurant]","281","0.009896456997957315","psic","rev5","","","exact","","","category","Dining and Drinking Restaurant Asian Restaurant Filipino Restaurant","","","56102|56103|5610|561|56109","Fast-food restaurants operations, including quick service restaurant || Activities of buffet restaurants || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c.","0.386067|0.210480|0.207840|0.207840|0.196599","0.386067","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Landmarks and Outdoors > Structure]","277","0.009755582165246178","psic","rev5","","","exact","","","category","Landmarks and Outdoors Structure","NOT_ACTIVITY","","","","","","rule:high_precision_non_activity","REVIEW_REQUIRED"
"overture","professional_service","269","0.009473832499823906","psic","rev5","","","exact","","","category","professional service","","","85591|9412|94120|N|74","Professional and licensure review service activities || Activities of professional membership organizations || Activities of professional membership organizations || Professional, Scientific, and Technical Activities || Other Professional, Scientific and Technical Activities","0.451800|0.398872|0.398872|0.373688|0.362888","0.451800","retrieval:candidates","REVIEW_CANDIDATES"
"overture","historic_site","262","0.009227301542579417","psic","rev5","","","exact","","","category","historic site","NOT_ACTIVITY","","","","","","rule:high_precision_non_activity","REVIEW_REQUIRED"
"fsq","['Dining and Drinking > Cafe, Coffee, and Tea House > Caf?']","262","0.009227301542579417","psic","rev5","","","exact","","","category","Dining and Drinking Cafe, Coffee, and Tea House Caf?","","","10760|1076|01634|11054|56302","Processing of coffee and tea || Processing of coffee and tea || Preparation of coffee and cocoa beans || Manufacture of bottled drinking water || Operation of caf?s or coffee shops","0.533739|0.533739|0.238044|0.227283|0.212799","0.533739","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Health and Medicine > Hospital]","233","0.008205959005423681","psic","rev5","","","exact","","","category","Health and Medicine Hospital","","","861|R|8611|8612|86129","Hospital activities || Human Health and Social Work Activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c.","0.441562|0.382972|0.342333|0.339584|0.323406","0.441562","retrieval:candidates","REVIEW_CANDIDATES"
"overture","school","230","0.00810030288089033","psic","rev5","","","exact","","","category","school","","","85530|8553|22205|4761|47610","Driving school activities || Driving school activities || Manufacture of office or school supplies made of plastic || Retail sale of books, newspapers, stationery and other office and school supplies || Retail sale of books, newspapers, stationery and other office and school supplies","0.529472|0.529472|0.354543|0.283552|0.283552","0.529472","retrieval:candidates","REVIEW_CANDIDATES"
"overture","cafe","230","0.00810030288089033","psic","rev5","","","exact","","","category","cafe","","","56104|56302|65110|6511|65120","Operation of cafeterias || Operation of caf?s or coffee shops || Life insurance || Life insurance || Non-life insurance","0.166609|0.061027|0.031990|0.031990|0.026097","0.166609","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Community and Government > Spiritual Center > Church]","204","0.007184616468267944","psic","rev5","","","exact","","","category","Community and Government Spiritual Center Church","","","84113|84112|86223|64121|842","Public administration, local government || Public administration, regional government || Private dialysis center activities || Universal banking, including specialized government banking || Provision of services to the community as a whole","0.261236|0.257337|0.209699|0.205062|0.201086","0.261236","retrieval:candidates","REVIEW_CANDIDATES"
"overture","elementary_school","203","0.00714939776009016","psic","rev5","","","exact","","","category","elementary school","","","85530|8553|85203|85204|85201","Driving school activities || Driving school activities || Public primary or elementary education for children with special needs || Private primary or elementary education for children with special needs || Public primary or elementary education for children without special needs","0.346885|0.346885|0.271279|0.268973|0.265545","0.346885","retrieval:candidates","REVIEW_CANDIDATES"
"osm","public_transport=platform","199","0.007008522927379024","psic","rev5","","","exact","","","category","platform public transport","NOT_ACTIVITY","","","","","","rule:high_precision_non_activity","REVIEW_REQUIRED"
"fsq","[Community and Government > Education > College and University > College Classroom]","198","0.00697330421920124","psic","rev5","","","exact","","","category","Community and Government Education College and University College Classroom","","","85|Q|84113|84112|64121","Education || Education || Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking","0.356113|0.356113|0.258732|0.255821|0.253371","0.356113","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Community and Government > Housing Development]","192","0.006761991970134535","psic","rev5","","","exact","","","category","Community and Government Housing Development","","","84113|84112|72|64121|842","Public administration, local government || Public administration, regional government || Scientific Research and Development || Universal banking, including specialized government banking || Provision of services to the community as a whole","0.262342|0.257824|0.227934|0.206791|0.198683","0.262342","retrieval:candidates","REVIEW_CANDIDATES"
"overture","pharmacy","190","0.006691554553778968","psic","rev5","","","exact","","","category","pharmacy","","","21|4643|46430|21003|46107","Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations || Wholesale of pharmaceutical and medical goods || Wholesale of pharmaceutical and medical goods || Preparation of botanical products for pharmaceutical use || Wholesale on a fee or contract basis, of chemical and pharmaceutical products","0.213378|0.185672|0.185672|0.159467|0.144762","0.213378","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Business and Professional Services > Financial Service > Banking and Finance > Bank]","189","0.006656335845601183","psic","rev5","","","exact","","","category","Business and Professional Services Financial Service Banking and Finance Bank","","","941|64|6412|66|829","Activities of business, employers and professional membership organizations || Financial Service Activities, except Insurance and Pension Funding || Other banking || Activities Auxiliary to Financial Service and Insurance Activities || Business support service activities n.e.c.","0.301575|0.269524|0.263033|0.255814|0.253403","0.301575","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Business and Professional Services > Health and Beauty Service > Hair Salon]","187","0.006585898429245615","psic","rev5","","","exact","","","category","Business and Professional Services Health and Beauty Service Hair Salon","","","941|829|9622|96220|8299","Activities of business, employers and professional membership organizations || Business support service activities n.e.c. || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Other business support service activities n.e.c.","0.325709|0.271615|0.264531|0.264531|0.251007","0.325709","retrieval:candidates","REVIEW_CANDIDATES"
"overture","dental_clinic","186","0.0065506797210678315","psic","rev5","","","exact","","","category","dental clinic","","","86222|86226|86225|86224|86221","Private pediatric clinic activities || Private dermatology clinic activities || Private obstetrics and gynecology clinic activities || Private optometry and ophthalmology clinic activities || Private dental practice activities","0.354211|0.340537|0.267064|0.263041|0.248799","0.354211","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Dining and Drinking > Bakery]","182","0.006409804888356695","psic","rev5","","","exact","","","category","Dining and Drinking Bakery","","","1071|10719|11054|47214|46312","Manufacture of bakery products || Manufacture of bakery products, n.e.c. || Manufacture of bottled drinking water || Retail sale of bakery products || Wholesale of sugar, confectionery and bakery products","0.385433|0.365416|0.352095|0.347662|0.244246","0.385433","retrieval:candidates","REVIEW_CANDIDATES"
"overture","auto_dealer","181","0.006374586180178911","psic","rev5","","","exact","","","category","auto dealer","","","64993|473|4730|47300|13997","Securities dealership, own-account || Retail sale of automotive fuel || Retail sale of automotive fuel || Retail sale of automotive fuel || Manufacture of automotive trimmings and custom upholstery","0.133533|0.087311|0.087311|0.087311|0.054628","0.133533","retrieval:candidates","REVIEW_CANDIDATES"
"overture","beauty_salon","181","0.006374586180178911","psic","rev5","","","exact","","","category","beauty salon","","","96220|9622|962|01172|47217","Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing, beauty treatment, day spa and similar activities || Growing of fruit bearing vegetables, such as talong, ampalaya and kalabasa || Retail sale of salt","0.603584|0.603584|0.317084|0.047624|0.033818","0.603584","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Retail > Convenience Store]","180","0.006339367472001127","psic","rev5","","","exact","","","category","Retail Convenience Store","SUBTREE","47114","47114|47|4721|47761|47217","Retail selling in convenience stores || Retail Trade || Retail sale of food || Retail sale of pet || Retail sale of salt","0.599113|0.182924|0.175120|0.163231|0.158827","0.599113","retrieval:strong_separated_hit","REVIEW_REQUIRED"
"overture","party_and_event_planning","176","0.006198492639289991","psic","rev5","","","exact","","","category","party and event planning","","","56210|5621|84116|562|10201","Event catering activities || Event catering activities || Economic and social planning and statistical services || Event catering and other food service activities || Preserving of fish and other marine products by canning or packing","0.339063|0.339063|0.282048|0.274359|0.079389","0.339063","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Business and Professional Services > Automotive Service > Automotive Repair Shop]","175","0.006163273931112207","psic","rev5","","","exact","","","category","Business and Professional Services Automotive Service Automotive Repair Shop","","","4730|47300|473|941|13997","Retail sale of automotive fuel || Retail sale of automotive fuel || Retail sale of automotive fuel || Activities of business, employers and professional membership organizations || Manufacture of automotive trimmings and custom upholstery","0.375967|0.375967|0.375967|0.284716|0.258643","0.375967","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","['Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop']","175","0.006163273931112207","psic","rev5","","","exact","","","category","Dining and Drinking Cafe, Coffee, and Tea House Coffee Shop","","","10760|1076|01271|01634|56302","Processing of coffee and tea || Processing of coffee and tea || Growing of coffee plants || Preparation of coffee and cocoa beans || Operation of caf?s or coffee shops","0.576247|0.576247|0.305396|0.303922|0.276696","0.576247","retrieval:candidates","REVIEW_CANDIDATES"
"osm","amenity=cafe","174","0.006128055222934423","psic","rev5","","","exact","","","category","cafe amenity","","","56104|86123|842|56302|841","Operation of cafeterias || Private maternity hospital activities || Provision of services to the community as a whole || Operation of caf?s or coffee shops || Administration of the State and the economic, social and environmental policies of the community","0.115143|0.066994|0.064536|0.042175|0.040793","0.115143","retrieval:candidates","REVIEW_CANDIDATES"
"overture","fast_food_restaurant","172","0.0060576178065788544","psic","rev5","","","exact","","","category","fast food restaurant","SUBTREE","56102","56102|5610|561|56109|56103","Fast-food restaurants operations, including quick service restaurant || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Activities of buffet restaurants","0.576220|0.281397|0.281397|0.268888|0.191029","0.576220","retrieval:strong_separated_hit","REVIEW_REQUIRED"
"fsq","[Retail > Pharmacy]","170","0.005987180390223287","psic","rev5","","","exact","","","category","Retail Pharmacy","","","47|4721|47761|47219|4751","Retail Trade || Retail sale of food || Retail sale of pet || Retail sale of food, n.e.c. || Retail sale of textiles","0.355887|0.337226|0.310954|0.307837|0.306410","0.355887","retrieval:candidates","REVIEW_CANDIDATES"
"overture","religious_organization","167","0.005881524265689934","psic","rev5","","","exact","","","category","religious organization","","","9491|94910|47732|82300|8230","Activities of religious organizations || Activities of religious organizations || Retail sale of religious articles || Organization of conventions and trade shows || Organization of conventions and trade shows","0.573667|0.573667|0.416667|0.283706|0.283706","0.573667","retrieval:candidates","REVIEW_CANDIDATES"
"overture","bakery","161","0.0056702120166232306","psic","rev5","","","exact","","","category","bakery","","","1071|10719|47214|46312|10712","Manufacture of bakery products || Manufacture of bakery products, n.e.c. || Retail sale of bakery products || Wholesale of sugar, confectionery and bakery products || Baking of biscuits, cookies, crackers, pretzels and similar dry bakery products","0.613160|0.579880|0.553716|0.371326|0.268934","0.613160","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Community and Government > Government Building]","154","0.005423681059378742","psic","rev5","","","exact","","","category","Community and Government Government Building","","","84113|84112|64121|842|301","Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking || Provision of services to the community as a whole || Building of ships and boats","0.386387|0.380205|0.305319|0.176746|0.162726","0.386387","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Dining and Drinking > Restaurant]","151","0.00531802493484539","psic","rev5","","","exact","","","category","Dining and Drinking Restaurant","","","11054|56102|23102|5610|561","Manufacture of bottled drinking water || Fast-food restaurants operations, including quick service restaurant || Manufacture of hollow glass, such as bottles, drinking glasses and other glass or crystal articles || Restaurants and mobile food service activities || Restaurants and mobile food service activities","0.319507|0.313257|0.181343|0.175516|0.175516","0.319507","retrieval:candidates","REVIEW_CANDIDATES"
"overture","grocery_store","148","0.005212368810312038","psic","rev5","","","exact","","","category","grocery store","","","47111|47191|52103|47114|47113","Retail selling in groceries || Retail selling in department stores || Operation of cold storages, refrigerated warehouses or cool stores || Retail selling in convenience stores || Retail selling in sari-sari stores","0.166917|0.082935|0.080801|0.078844|0.074013","0.166917","retrieval:candidates","REVIEW_CANDIDATES"
"overture","convenience_store","148","0.005212368810312038","psic","rev5","","","exact","","","category","convenience store","SUBTREE","47114","47114|8230|82300|823|52103","Retail selling in convenience stores || Organization of conventions and trade shows || Organization of conventions and trade shows || Organization of conventions and trade shows || Operation of cold storages, refrigerated warehouses or cool stores","0.551640|0.081708|0.081708|0.081708|0.061643","0.551640","retrieval:strong_separated_hit","REVIEW_REQUIRED"
"overture","spa","147","0.0051771501021342535","psic","rev5","","","exact","","","category","spa","","","962|9623|96230|3030|303","Hairdressing, beauty treatment, day spa and similar activities || Day spa, sauna and steam bath activities || Day spa, sauna and steam bath activities || Manufacture of air and spacecraft and related machinery || Manufacture of air and spacecraft and related machinery","0.277397|0.226942|0.226942|0.049074|0.049074","0.277397","retrieval:candidates","REVIEW_CANDIDATES"
"osm","amenity=place_of_worship","147","0.0051771501021342535","psic","rev5","","","exact","","","category","place of worship amenity","","","94|949|9499|94990|7810","Activities of Membership Organizations || Activities of other membership organizations || Activities of other membership organizations n.e.c. || Activities of other membership organizations n.e.c. || Activities of employment placement agencies","0.141677|0.137453|0.134414|0.134414|0.125313","0.141677","retrieval:candidates","REVIEW_CANDIDATES"
"osm","amenity=bank","146","0.00514193139395647","psic","rev5","","","exact","","","category","bank amenity","","","64127|66192|6412|64129|64124","Digital bank operation || Activities of non-bank electronic money issuers and operators of payment systems || Other banking || Other banking, n.e.c. || Rural banking","0.413370|0.196803|0.115512|0.095336|0.092051","0.413370","retrieval:candidates","REVIEW_CANDIDATES"
"overture","shopping","145","0.005106712685778686","psic","rev5","","","exact","","","category","shopping","","","56303|017|01700|0170|56302","Activities of tea shops || Hunting, trapping and related service activities || Hunting, trapping and related service activities || Hunting, trapping and related service activities || Operation of caf?s or coffee shops","0.135746|0.096667|0.096667|0.096667|0.087950","0.135746","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Health and Medicine > Medical Center]","145","0.005106712685778686","psic","rev5","","","exact","","","category","Health and Medicine Medical Center","","","R|86910|8691|72101|86","Human Health and Social Work Activities || Intermediation service activities for medical, dental, and other human health services || Intermediation service activities for medical, dental, and other human health services || Research and experimental development in medical and health sciences || Human Health Activities","0.341278|0.279655|0.279655|0.270702|0.263252","0.341278","retrieval:candidates","REVIEW_CANDIDATES"
"overture","community_and_government","144","0.005071493977600902","psic","rev5","","","exact","","","category","community and government","","","84113|84112|64121|842|841","Public administration, local government || Public administration, regional government || Universal banking, including specialized government banking || Provision of services to the community as a whole || Administration of the State and the economic, social and environmental policies of the community","0.343798|0.338173|0.267984|0.266334|0.205407","0.343798","retrieval:candidates","REVIEW_CANDIDATES"
"overture","college_university","143","0.005036275269423117","psic","rev5","","","exact","","","category","college university","","","64121|381|91210|9121|3812","Universal banking, including specialized government banking || Waste collection activities || Museum and collection activities || Museum and collection activities || Collection of hazardous waste","0.106735|0.083611|0.073098|0.073098|0.062600","0.106735","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Travel and Transportation > Lodging > Hotel]","140","0.004930619144889766","psic","rev5","","","exact","","","category","Travel and Transportation Lodging Hotel","","","7911|79110|799|7990|522","Travel agency activities || Travel agency activities || Other travel related activities || Other travel related activities || Support activities for transportation","0.378351|0.378351|0.359328|0.359328|0.358454","0.378351","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Dining and Drinking > Restaurant > BBQ Joint]","140","0.004930619144889766","psic","rev5","","","exact","","","category","Dining and Drinking Restaurant BBQ Joint","","","11054|56102|23102|5610|561","Manufacture of bottled drinking water || Fast-food restaurants operations, including quick service restaurant || Manufacture of hollow glass, such as bottles, drinking glasses and other glass or crystal articles || Restaurants and mobile food service activities || Restaurants and mobile food service activities","0.301577|0.291739|0.170787|0.155862|0.155862","0.301577","retrieval:candidates","REVIEW_CANDIDATES"
"osm","amenity=fuel","138","0.004860181728534197","psic","rev5","","","exact","","","category","fuel amenity","","","473|4730|47300|20293|1920","Retail sale of automotive fuel || Retail sale of automotive fuel || Retail sale of automotive fuel || Manufacture of biofuels such as biodiesel and bioethanol fuel || Manufacture of refined petroleum products; manufacture of fossil fuel products","0.348305|0.348305|0.348305|0.229618|0.227549","0.348305","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Dining and Drinking > Restaurant > Seafood Restaurant]","138","0.004860181728534197","psic","rev5","","","exact","","","category","Dining and Drinking Restaurant Seafood Restaurant","","","56102|47215|46208|5610|561","Fast-food restaurants operations, including quick service restaurant || Retail sale of fish, other seafood and seafood products || Wholesale of fish and other seafood || Restaurants and mobile food service activities || Restaurants and mobile food service activities","0.356408|0.270473|0.239414|0.210195|0.210195","0.356408","retrieval:candidates","REVIEW_CANDIDATES"
"overture","laundromat","132","0.004648869479467493","psic","rev5","","","exact","","","category","laundromat","","","27502|28263|01281|0128|20296","Manufacture of refrigerators and laundry equipment such as freezers, washing and drying machines || Manufacture of commercial washing, laundry, centrifugal clothes driers, dry-cleaning and pressing machines || Growing of spices and aromatic crops such as luya, pepper (paminta), achuete and laurel || Growing of spices, aromatic, drug and pharmaceutical crops || Manufacture of essential oil and concentrates, natural aromatic product extracts, resinoids, aromatic distilled waters and odoriferous product mixtures used in perfumes or food","0.109344|0.091877|0.059343|0.051114|0.047797","0.109344","retrieval:candidates","REVIEW_CANDIDATES"
"overture","hardware_store","131","0.004613650771289709","psic","rev5","","","exact","","","category","hardware store","","","46735|47521|2593|4752|47529","Wholesale of hardware and electrical materials and supplies || Retail sale of hardware and electrical materials and supplies || Manufacture of cutlery, hand tools and general hardware || Retail sale of hardware, building materials, paints and glass || Retail sale of hardware, building materials, paints and glass, n.e.c.","0.348699|0.343506|0.329001|0.301615|0.294650","0.348699","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Travel and Transportation > Road]","129","0.004543213354934141","psic","rev5","","","exact","","","category","Travel and Transportation Road","NOT_ACTIVITY","","","","","","rule:high_precision_non_activity","REVIEW_REQUIRED"
"overture","education","126","0.004437557230400789","psic","rev5","","","exact","","","category","education","","","Q|85|855|8559|8520","Education || Education || Other education || Other education n.e.c. || Primary education","1.000000|1.000000|0.671987|0.622930|0.556621","1.000000","retrieval:candidates","REVIEW_CANDIDATES"
"overture","clothing_store","124","0.004367119814045221","psic","rev5","","","exact","","","category","clothing store","","","46412|47711|95293|4641|46419","Wholesale of garments, clothing, wearing apparel and clothing accessories || Retail sale of garments, clothing, wearing apparel and clothing accessories || Repair and alteration of clothing || Wholesale of textiles, clothing and footwear || Wholesale of textiles, clothing and footwear, n.e.c.","0.434401|0.429247|0.400700|0.368073|0.355162","0.434401","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Business and Professional Services > Health and Beauty Service > Spa]","122","0.0042966823976896525","psic","rev5","","","exact","","","category","Business and Professional Services Health and Beauty Service Spa","","","941|829|9622|96220|82990","Activities of business, employers and professional membership organizations || Business support service activities n.e.c. || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Other business support service activities n.e.c.","0.317615|0.268504|0.260205|0.260205|0.248719","0.317615","retrieval:candidates","REVIEW_CANDIDATES"
"overture","hospital","122","0.0042966823976896525","psic","rev5","","","exact","","","category","hospital","","","861|8611|8612|86129|86111","Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities","0.775980|0.597341|0.593639|0.567316|0.507442","0.775980","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Dining and Drinking > Bar]","122","0.0042966823976896525","psic","rev5","","","exact","","","category","Dining and Drinking Bar","","","11054|23102|11051|6412|08911","Manufacture of bottled drinking water || Manufacture of hollow glass, such as bottles, drinking glasses and other glass or crystal articles || Manufacture of sports and energy drink || Other banking || Baryte mining","0.441061|0.246969|0.117696|0.110479|0.091134","0.441061","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Health and Medicine > Dentist]","122","0.0042966823976896525","psic","rev5","","","exact","","","category","Health and Medicine Dentist","","","R|86|869|8699|86999","Human Health and Social Work Activities || Human Health Activities || Other human health activities || Other human health activities n.e.c. || All other human health activities, n.e.c.","0.439449|0.330656|0.303343|0.293388|0.261395","0.439449","retrieval:candidates","REVIEW_CANDIDATES"
"overture","bank_or_credit_union","121","0.004261463689511869","psic","rev5","","","exact","","","category","bank or credit union","","","64959|64133|6495|64127|64951","Other credit granting, n.e.c. || Activities of credit cooperatives || Other credit granting activities || Digital bank operation || Credit card company operation","0.318071|0.305702|0.304435|0.298291|0.278268","0.318071","retrieval:candidates","REVIEW_CANDIDATES"
"fsq","[Retail > Food and Beverage Retail]","120","0.004226244981334085","psic","rev5","","","exact","","","category","Retail Food and Beverage Retail","SUBTREE","56","56|5640|56400|564|4721","Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Retail sale of food","0.665540|0.480773|0.480773|0.480773|0.448752","0.665540","retrieval:strong_separated_hit","REVIEW_REQUIRED"
"overture","bar","118","0.004155807564978516","psic","rev5","","","exact","","","category","bar","","","96212|08911|9621|26192|96211","Barber activities || Baryte mining || Hairdressing and barber activities || Manufacture of bare printed circuit boards || Hairdressing activities, other than barber activities","0.136241|0.116058|0.087053|0.077544|0.073207","0.136241","retrieval:candidates","REVIEW_CANDIDATES"
"overture","gas_station","116","0.004085370148622949","psic","rev5","","","exact","","","category","gas station","","","11055|06200|0620|062|42203","Operation of water purifying and refilling station || Extraction of natural gas || Extraction of natural gas || Extraction of natural gas || Construction of gas and energy pipelines","0.286888|0.244647|0.244647|0.244647|0.176779","0.286888","retrieval:candidates","REVIEW_CANDIDATES"
