source,source_value,row_count,row_share,scheme,version,mapping_kind,codes,match_type,confidence,notes,source_field,query_text,branch_codes,branch_titles,suggested_kind,suggested_codes,candidate_codes,candidate_titles,candidate_scores,retrieval_score,suggestion_source,review_status,row_count_num,audit_reason,audit_decision,audit_correct_kind,audit_correct_codes,audit_notes
overture,shopping,6561,0.00824281439156949,psic,rev5,,,exact,,,category,retail trade activities,47,Retail Trade,SUBTREE,47,47|4790|479|47900|4721,Retail Trade || Intermediation service activities for retail sale || Intermediation service activities for retail sale || Intermediation service activities for retail sale || Retail sale of food,0.940316|0.224235|0.224235|0.224235|0.215569,0.940316,semantic:overture:shopping;retrieval:strong_separated_hit,REVIEW_REQUIRED,6561,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,47,Semantically defensible at the proposed PSIC hierarchy level.
osm,amenity=fast_food,6527,0.008200098999203483,psic,rev5,,,exact,,,category,fast-food restaurant operations,561,Restaurants and mobile food service activities,EXACT,56102,56102|5610|561|56109|56103,"Fast-food restaurants operations, including quick service restaurant || Restaurants and mobile food service activities || Restaurants and mobile food service activities || Restaurants and mobile food service activities, n.e.c. || Activities of buffet restaurants",0.665390|0.220886|0.220886|0.211482|0.152129,0.665390,semantic:osm:amenity=fast_food;retrieval:strong_separated_hit,REVIEW_REQUIRED,6527,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,56102,Semantically defensible at the proposed PSIC hierarchy level.
osm,shop=convenience,6137,0.0077101283220640075,psic,rev5,,,exact,,,category,retail selling in convenience stores,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",EXACT,47114,47114|47113|47111|47115|47112,Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in groceries || Retail selling in pasalubong stores or centers || Retail selling in supermarkets and hypermarkets,1.000000|0.446025|0.441785|0.432407|0.315958,1.000000,semantic:osm:shop=convenience;retrieval:strong_separated_hit,REVIEW_REQUIRED,6137,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47114,Semantically defensible at the proposed PSIC hierarchy level.
overture,clothing_store,5862,0.007364636177927198,psic,rev5,,,exact,,,category,retail sale garments clothing apparel,4771,"Retail sale of clothing, footwear and leather articles",EXACT,47711,47711|4771|47719|47712|47713,"Retail sale of garments, clothing, wearing apparel and clothing accessories || Retail sale of clothing, footwear and leather articles || Retail sale of clothing, footwear and leather articles, n.e.c. || Retail sale of footwear || Retail sale of leather goods and travel accessories of leather and leather substitutes",0.697789|0.311996|0.304685|0.244308|0.101870,0.697789,semantic:overture:clothing_store;retrieval:strong_separated_hit,REVIEW_REQUIRED,5862,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47711,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Retail > Convenience Store],5531,0.006948789269893438,psic,rev5,,,exact,,,category,retail selling in convenience stores,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",EXACT,47114,47114|47113|47111|47115|47112,Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in groceries || Retail selling in pasalubong stores or centers || Retail selling in supermarkets and hypermarkets,1.000000|0.446025|0.441785|0.432407|0.315958,1.000000,semantic:fsq:retail_convenience;retrieval:strong_separated_hit,REVIEW_REQUIRED,5531,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47114,Semantically defensible at the proposed PSIC hierarchy level.
overture,cafe,5476,0.006879690841066076,psic,rev5,,,exact,,,category,operation of cafes or coffee shops,563,Beverage serving activities,EXACT,56302,56302|56303|56301|56304|5630,"Operation of cafés or coffee shops || Activities of tea shops || Operation of nightclubs, bars and cocktail lounges || Activities of beverage stands, kiosks and counters || Beverage serving activities",0.784830|0.296045|0.107429|0.008501|0.004505,0.784830,semantic:overture:cafe;retrieval:strong_separated_hit,REVIEW_REQUIRED,5476,HIGH_FREQUENCY,CORRECT,EXACT,56302,Semantically defensible at the proposed PSIC hierarchy level.
overture,grocery_store,5466,0.006867127490370191,psic,rev5,,,exact,,,category,retail selling in groceries,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",EXACT,47111,47111|47114|47113|47112|47115,Retail selling in groceries || Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in supermarkets and hypermarkets || Retail selling in pasalubong stores or centers,1.000000|0.441785|0.383281|0.376115|0.372700,1.000000,semantic:overture:grocery_store;retrieval:strong_separated_hit,REVIEW_REQUIRED,5466,HIGH_FREQUENCY,CORRECT,EXACT,47111,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Health and Medicine > Hospital],5354,0.0067264179625762905,psic,rev5,,,exact,,,category,hospital activities,861,Hospital activities,SUBTREE,861,861|8611|8612|86129|86111,"Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities",1.000000|0.759486|0.757450|0.723632|0.642941,1.000000,semantic:fsq:hospital;retrieval:strong_separated_hit,REVIEW_REQUIRED,5354,HIGH_FREQUENCY,CORRECT,SUBTREE,861,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Community and Government > Housing Development],4874,0.006123377129173859,psic,rev5,,,exact,,,category,Community and Government Housing Development,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,4874,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Business and Professional Services > Health and Beauty Service > Spa],4851,0.006094481422573326,psic,rev5,,,exact,,,category,hairdressing beauty treatment day spa activities,962,"Hairdressing, beauty treatment, day spa and similar activities",SUBTREE,962,962|9622|96220|9621|96211,"Hairdressing, beauty treatment, day spa and similar activities || Beauty care and other beauty treatment activities || Beauty care and other beauty treatment activities || Hairdressing and barber activities || Hairdressing activities, other than barber activities",0.860616|0.466881|0.466881|0.296729|0.262443,0.860616,semantic:fsq:beauty;retrieval:strong_separated_hit,REVIEW_REQUIRED,4851,HIGH_FREQUENCY,TOO_BROAD,SUBTREE,9623,Spa is more specific than the whole 962 beauty/hairdressing subtree; a day-spa branch is available.
osm,public_transport=platform,4739,0.005953771894779425,psic,rev5,,,exact,,,category,platform public transport,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,4739,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
overture,convenience_store,4414,0.005545462997163195,psic,rev5,,,exact,,,category,retail selling in convenience stores,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",EXACT,47114,47114|47113|47111|47115|47112,Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in groceries || Retail selling in pasalubong stores or centers || Retail selling in supermarkets and hypermarkets,1.000000|0.446025|0.441785|0.432407|0.315958,1.000000,semantic:overture:convenience_store;retrieval:strong_separated_hit,REVIEW_REQUIRED,4414,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47114,Semantically defensible at the proposed PSIC hierarchy level.
overture,pharmacy,3992,0.005015289597796891,psic,rev5,,,exact,,,category,retail sale pharmaceutical medical goods,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",SUBTREE,4772,4772|47721|47723|47724|47722,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles || Retail sale of prescription and over-the-counter drugs and pharmaceutical goods || Retail sale of medical, orthopedic and dental instruments and supplies || Retail sale of perfumery, cosmetic and toilet articles || Retail sale of non-medicinal wellness and herbal products and supplements",0.591138|0.353173|0.238311|0.134616|0.129968,0.591138,semantic:overture:pharmacy;retrieval:strong_separated_hit,REVIEW_REQUIRED,3992,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,4772,Semantically defensible at the proposed PSIC hierarchy level.
overture,hospital,3369,0.004232592849443318,psic,rev5,,,exact,,,category,hospital activities,861,Hospital activities,SUBTREE,861,861|8611|8612|86129|86111,"Hospital activities || Public hospital activities || Private hospital activities || Private hospital activities, n.e.c. || Public general hospital activities",1.000000|0.759486|0.757450|0.723632|0.642941,1.000000,semantic:overture:hospital;retrieval:strong_separated_hit,REVIEW_REQUIRED,3369,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,861,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Retail > Pharmacy],3340,0.0041961591324252544,psic,rev5,,,exact,,,category,retail sale pharmaceutical medical goods,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",SUBTREE,4772,4772|47721|47723|47724|47722,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles || Retail sale of prescription and over-the-counter drugs and pharmaceutical goods || Retail sale of medical, orthopedic and dental instruments and supplies || Retail sale of perfumery, cosmetic and toilet articles || Retail sale of non-medicinal wellness and herbal products and supplements",0.591138|0.353173|0.238311|0.134616|0.129968,0.591138,semantic:fsq:retail_pharmacy;retrieval:strong_separated_hit,REVIEW_REQUIRED,3340,HIGH_FREQUENCY,CORRECT,SUBTREE,4772,Semantically defensible at the proposed PSIC hierarchy level.
overture,bank_or_credit_union,3094,0.003887100705306508,psic,rev5,,,exact,,,category,banking and credit cooperative activities,64,"Financial Service Activities, except Insurance and Pension Funding",EXACT,64125,64125|64133|6412|64129|6495,"Cooperative banking || Activities of credit cooperatives || Other banking || Other banking, n.e.c. || Other credit granting activities",0.651683|0.445386|0.340724|0.298899|0.287201,0.651683,semantic:overture:bank_or_credit_union;retrieval:strong_separated_hit,REVIEW_REQUIRED,3094,HIGH_FREQUENCY,TOO_NARROW,REVIEW,,The source category conflates banks and credit unions; 64125 Cooperative banking selects only one possibility.
fsq,[Dining and Drinking > Snack Place],2795,0.0035114565194995766,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,2795,HIGH_FREQUENCY,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
osm,amenity=cafe,2666,0.003349389295522673,psic,rev5,,,exact,,,category,operation of cafes or coffee shops,563,Beverage serving activities,EXACT,56302,56302|56303|56301|56304|5630,"Operation of cafés or coffee shops || Activities of tea shops || Operation of nightclubs, bars and cocktail lounges || Activities of beverage stands, kiosks and counters || Beverage serving activities",0.784830|0.296045|0.107429|0.008501|0.004505,0.784830,semantic:osm:amenity=cafe;retrieval:strong_separated_hit,REVIEW_REQUIRED,2666,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,56302,Semantically defensible at the proposed PSIC hierarchy level.
overture,education,2594,0.003258933170512308,psic,rev5,,,exact,,,category,education activities,85,Education,SUBTREE,85,85|855|8559|8520|852,Education || Other education || Other education n.e.c. || Primary education || Primary education,0.882374|0.588716|0.546862|0.488928|0.488928,0.882374,semantic:overture:education;retrieval:strong_separated_hit,REVIEW_REQUIRED,2594,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,85,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Retail > Fashion Retail > Clothing Store],2537,0.0031873220715457696,psic,rev5,,,exact,,,category,retail sale garments clothing apparel,4771,"Retail sale of clothing, footwear and leather articles",EXACT,47711,47711|4771|47719|47712|47713,"Retail sale of garments, clothing, wearing apparel and clothing accessories || Retail sale of clothing, footwear and leather articles || Retail sale of clothing, footwear and leather articles, n.e.c. || Retail sale of footwear || Retail sale of leather goods and travel accessories of leather and leather substitutes",0.697789|0.311996|0.304685|0.244308|0.101870,0.697789,semantic:fsq:retail_clothing;retrieval:strong_separated_hit,REVIEW_REQUIRED,2537,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47711,Semantically defensible at the proposed PSIC hierarchy level.
overture,community_and_government,2511,0.003154657359736471,psic,rev5,,,exact,,,category,community and government,,,UNCODEABLE,,,,,,rule:broad_ontology_bucket,REVIEW_REQUIRED,2511,HIGH_FREQUENCY;ALL_UNCODEABLE,CORRECT,UNCODEABLE,,Semantically defensible at the proposed PSIC hierarchy level.
overture,barber,2470,0.0031031476218833466,psic,rev5,,,exact,,,category,hairdressing and barber activities,962,"Hairdressing, beauty treatment, day spa and similar activities",SUBTREE,9621,9621|96212|96211|962|9623,"Hairdressing and barber activities || Barber activities || Hairdressing activities, other than barber activities || Hairdressing, beauty treatment, day spa and similar activities || Day spa, sauna and steam bath activities",1.000000|0.624796|0.623014|0.263915|0.045870,1.000000,semantic:overture:barber;retrieval:strong_separated_hit,REVIEW_REQUIRED,2470,HIGH_FREQUENCY,TOO_BROAD,EXACT,96212,Barber is specific enough for the barber-activities leaf rather than the broader hairdressing/barber branch.
fsq,[Travel and Transportation],1916,0.0024071379933313735,psic,rev5,,,exact,,,category,Travel and Transportation,,,UNCODEABLE,,,,,,rule:broad_ontology_bucket,REVIEW_REQUIRED,1916,HIGH_FREQUENCY;ALL_UNCODEABLE,CORRECT,UNCODEABLE,,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Sports and Recreation > Basketball > Basketball Court],1843,0.0023154255332514203,psic,rev5,,,exact,,,category,operation of courts for basketball volleyball badminton tennis and pickleball,93112,"Operation of courts for basketball, volleyball, badminton, tennis and pickleball",EXACT,93112,93112,"Operation of courts for basketball, volleyball, badminton, tennis and pickleball",0.961711,0.961711,semantic:fsq:sports_court;retrieval:strong_separated_hit,REVIEW_REQUIRED,1843,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,93112,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Sports and Recreation > Gym and Studio > Gym],1790,0.002248839774563235,psic,rev5,,,exact,,,category,operation of fitness centers,93111,Operation of fitness centers,EXACT,93111,93111,Operation of fitness centers,1.000000,1.000000,semantic:fsq:fitness;retrieval:strong_separated_hit,REVIEW_REQUIRED,1790,HIGH_FREQUENCY,CORRECT,EXACT,93111,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Dessert Shop],1770,0.002223713073171467,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,1770,HIGH_FREQUENCY,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
overture,flowers_and_gifts_store,1719,0.0021596399846224587,psic,rev5,,,exact,,,category,retail sale flowers and gifts,47,Retail Trade,EXACT,47735,47735|4721|47401|47217|47761,Retail sale of fresh and artificial flowers and plants || Retail sale of food || Retail sale of computers || Retail sale of salt || Retail sale of pet,0.516688|0.343074|0.323336|0.322745|0.317685,0.516688,semantic:overture:store_suffix;retrieval:strong_separated_hit,REVIEW_REQUIRED,1719,HIGH_FREQUENCY,TOO_NARROW,REVIEW,,Compound store category covers flowers and gifts; the flower-only leaf omits part of the source semantics.
osm,amenity=pharmacy | healthcare=pharmacy,1608,0.0020201867918981462,psic,rev5,,,exact,,,category,retail sale pharmaceutical medical goods,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles",SUBTREE,4772,4772|47721|47723|47724|47722,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles || Retail sale of prescription and over-the-counter drugs and pharmaceutical goods || Retail sale of medical, orthopedic and dental instruments and supplies || Retail sale of perfumery, cosmetic and toilet articles || Retail sale of non-medicinal wellness and herbal products and supplements",0.591138|0.353173|0.238311|0.134616|0.129968,0.591138,semantic:osm:amenity=pharmacy;retrieval:strong_separated_hit,REVIEW_REQUIRED,1608,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,4772,Semantically defensible at the proposed PSIC hierarchy level.
overture,pet_store,1535,0.0019284743318181933,psic,rev5,,,exact,,,category,retail sale pet,47,Retail Trade,EXACT,47761,47761|4776|47762|4721|47217,Retail sale of pet || Retail sale of pet and pet supplies || Retail sale of pet supplies || Retail sale of food || Retail sale of salt,0.851573|0.681373|0.662427|0.484394|0.457613,0.851573,semantic:overture:store_suffix;retrieval:strong_separated_hit,REVIEW_REQUIRED,1535,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,TOO_NARROW,SUBTREE,4776,Pet store can cover live pets and pet supplies; the live-pet leaf is narrower than the source category.
overture,park,1532,0.001924705326609428,psic,rev5,,,exact,,,category,park,,,NOT_ACTIVITY,,,,,,rule:high_precision_non_activity,REVIEW_REQUIRED,1532,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,NOT_ACTIVITY,,Semantically defensible at the proposed PSIC hierarchy level.
osm,office=company,1441,0.0018103788352768838,psic,rev5,,,exact,,,category,company professional service activities,,,UNCODEABLE,,,,,,rule:broad_ontology_bucket,REVIEW_REQUIRED,1441,HIGH_FREQUENCY;ALL_UNCODEABLE,CORRECT,UNCODEABLE,,Semantically defensible at the proposed PSIC hierarchy level.
osm,shop=bakery,1428,0.0017940464793722345,psic,rev5,,,exact,,,category,retail sale bakery products,47,Retail Trade,EXACT,47214,47214|4721|47217|47761|47219,"Retail sale of bakery products || Retail sale of food || Retail sale of salt || Retail sale of pet || Retail sale of food, n.e.c.",0.892837|0.360571|0.339736|0.334666|0.324423,0.892837,semantic:osm:shop=bakery;retrieval:strong_separated_hit,REVIEW_REQUIRED,1428,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47214,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Food Truck],1274,0.0016005708786556209,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,1274,HIGH_FREQUENCY,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Breakfast Spot],1260,0.0015829821876813834,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,1260,HIGH_FREQUENCY,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Dessert Shop > Ice Cream Parlor],1241,0.0015591118213592037,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,1241,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Food Court],1227,0.0015415231303849662,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,1227,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
osm,shop=supermarket,1166,0.0014648866911400739,psic,rev5,,,exact,,,category,retail selling in supermarkets and hypermarkets,4711,"Non-specialized retail sale with food, beverages or tobacco predominating",EXACT,47112,47112|47111|47114|47113|47115,Retail selling in supermarkets and hypermarkets || Retail selling in groceries || Retail selling in convenience stores || Retail selling in sari-sari stores || Retail selling in pasalubong stores or centers,1.000000|0.376115|0.315958|0.272130|0.265596,1.000000,semantic:osm:shop=supermarket;retrieval:strong_separated_hit,REVIEW_REQUIRED,1166,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,CORRECT,EXACT,47112,Semantically defensible at the proposed PSIC hierarchy level.
fsq,[Dining and Drinking > Donut Shop],1154,0.001449810670305013,psic,rev5,,,exact,,,category,food and beverage service activities,56,Food and Beverage Service Activities,SUBTREE,56,56|5640|56400|564|56290,Food and Beverage Service Activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Intermediation service activities for food and beverage services activities || Other food service activities,1.000000|0.669798|0.669798|0.669798|0.442780,1.000000,semantic:fsq:dining;retrieval:strong_separated_hit,REVIEW_REQUIRED,1154,HIGH_FREQUENCY,CORRECT,SUBTREE,56,Semantically defensible at the proposed PSIC hierarchy level.
overture,insurance_agency,1100,0.0013819685765472395,psic,rev5,,,exact,,,category,insurance agency,,,SUBTREE,651,651|6511|65110|65201|6512,Insurance || Life insurance || Life insurance || Reinsurance for life insurance || Non-life insurance,0.706621|0.433535|0.433535|0.367505|0.348497,0.706621,semantic:raw_category;retrieval:strong_separated_hit,REVIEW_REQUIRED,1100,HIGH_FREQUENCY;STRATIFIED_KIND_SOURCE_FREQ,WRONG_CODE,REVIEW,,"Insurance agency is an auxiliary/intermediation activity, not the insurance-carrier branch selected here."
